"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",41.12131,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",40.41459,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",38.69263,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",35.58611,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",32.14331,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",29.98446,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",29.25673,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",28.03118,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",29.9901,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",38.68695,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",41.91847,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",46.31153,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",59.24876,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",55.76767,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",61.62906,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",64.27708,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",68.64424,"
"AUS,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",65.7194,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",71.06709,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",72.1219,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",74.03432,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",72.54121,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",71.77602,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",76.25182,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",72.68636,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",68.96463,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",74.19278,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",86.33044,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",90.54397,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",91.4737,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",97.33756,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",94.3597,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",101.8692,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",100.7969,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",101.3391,"
"AUT,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",94.91287,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",120.5397,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",119.2406,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",118.4241,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",114.8479,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",110.4701,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",108.3034,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",100.3739,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",94.14143,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",101.4708,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",109.8433,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",107.9802,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",110.6022,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",120.4748,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",118.4776,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",131.1118,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",127.6674,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",128.4397,"
"BEL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",121.8982,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",105.4222,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",105.2199,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",103.986,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",99.65713,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",95.72514,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",94.20788,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",91.41594,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",87.16206,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",89.97141,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",103.0748,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",105.2244,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",107.8826,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",111.5424,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",107.5053,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",108.5417,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",114.7455,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",114.127,"
"CAN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",109.0958,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",24.38618,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",28.31914,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",30.58959,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",33.39055,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",32.85409,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",32.39288,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",31.94066,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",30.53996,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",34.30849,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",41.07794,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",45.57788,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",48.34729,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",57.87899,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",57.95966,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",55.25015,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",52.01303,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",47.68877,"
"CZE,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",44.01469,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",60.45578,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",58.27706,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",58.14748,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",56.06915,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",52.33589,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",45.11943,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",40.49267,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",34.59383,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",41.93991,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",49.26745,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",53.44128,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",60.11119,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",60.61518,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",56.73219,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",59.14192,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",53.78791,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",52.60029,"
"DNK,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",49.95662,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",51.01093,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",48.40519,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",48.23621,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",49.1941,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",49.39707,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",46.53166,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",43.08167,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",39.09392,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",38.27919,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",49.23079,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",55.06467,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",57.52048,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",64.33859,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",64.77638,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",71.6879,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",75.18225,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",75.44318,"
"FIN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",73.25,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",72.42918,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",71.47308,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",75.16156,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",79.07757,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",80.54945,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",82.14224,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",77.26933,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",75.94181,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",82.50349,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",97.5731,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",100.9953,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",103.8066,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",111.9382,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",112.4676,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",120.1551,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",120.8252,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",125.4641,"
"FRA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",124.2471,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",59.51911,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",58.75711,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",61.20459,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",64.5843,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",67.53011,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",70.06332,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",68.25689,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",64.18327,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",68.08314,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",75.47145,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",84.45005,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",84.18228,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",88.10569,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",83.27205,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",83.34541,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",78.96413,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",76.01376,"
"DEU,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",71.52236,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",111.6979,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",115.2994,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",116.6336,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",109.8932,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",114.3387,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",115.8159,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",115.2277,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",112.7846,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",117.449,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",135.0054,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",128.9748,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",110.907,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",164.1071,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",179.6891,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",180.8163,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",182.9426,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",185.7925,"
"GRC,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",188.7342,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",60.52811,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",58.49344,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",59.52792,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",60.21578,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",63.60974,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",66.69791,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",70.26191,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",70.92673,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",74.51356,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",83.44037,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",85.27269,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",94.21516,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",97.3067,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",95.30315,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",98.58357,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",97.27596,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",97.13194,"
"HUN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",91.38217,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",38.71733,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",35.54811,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",34.04624,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",32.84788,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",31.51454,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",31.32907,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",27.64148,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",27.4556,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",47.47161,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",67.5424,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",83.4975,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",111.456,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",129.3562,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",131.7296,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",121.198,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",88.51808,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",84.13502,"
"IRL,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",77.23739,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",118.9894,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",118.1363,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",116.9578,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",114.2859,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",114.6943,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",117.4323,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",115.0135,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",110.6964,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",112.9941,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",125.9787,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",124.8795,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",117.9357,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",136.2351,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",143.6861,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",156.0584,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",157.0335,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",154.9009,"
"ITA,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2017"",152.6121,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",142.6464,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",148.8677,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",159.102,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",168.8736,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",175.4419,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",176.1969,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",176.183,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",177.7124,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",181.5641,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",202.7732,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",207.5221,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",222.3113,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",230.3869,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",233.2241,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",238.4595,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",237.3919,"
"JPN,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",234.5488,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",15.75577,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",16.15309,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",16.21593,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",17.55165,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",18.46652,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",17.1373,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",16.14673,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",15.83983,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",24.42677,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",21.9826,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",27.02489,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",26.55407,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",28.32328,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",28.93741,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",29.45534,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",29.43433,"
"LUX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",27.73762,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",36.50307,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",31.46108,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",30.92044,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",30.74275,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",32.43561,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",34.31808,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2009"",30.56396,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2010"",31.1473,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2011"",37.14133,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2012"",41.13026,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2013"",47.10764,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2014"",50.05849,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2015"",53.32518,"
"MEX,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2016"",51.79043,"
"NLD,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2000"",61.13335,"
"NLD,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2001"",57.117,"
"NLD,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2002"",57.63334,"
"NLD,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2003"",58.83407,"
"NLD,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2004"",59.05994,"
"NLD,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2005"",58.36666,"
"NLD,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2006"",52.21591,"
"NLD,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2007"",49.44199,"
"NLD,""GGDEBT"",""TOT"",""PC_GDP"",""A"",""2008"",62.0243,"
